team,opendota_id,rank,rating,slug,,tier
"Retro Fraternity

1,000",5407,43,0,5407-retro-fraternity,,5
"Returned

1,000",6226,43,0,6226-returned,,5
"Reverie

1,000",5264,43,0,5264-reverie,,5
"REX THANATOS GAMING

1,000",6129,43,0,6129-rex-thanatos-gaming,,5
"Rifa

1,000",6181,43,0,6181-rifa,,5
"Right Mouse Button

1,000",2392,43,0,2392-right-mouse-button,,5
"RightClickers

1,000",4944,43,0,4944-rightclickers,,5
"RiP

1,000",3224,43,0,3224-rip,,5
"Rise

1,000",5086,43,0,5086-rise,,5
"Rising Cocks

1,000",6013,43,0,6013-rising-cocks,,5
"rizeGaming | veX

1,000",3057,43,0,3057-rizegaming-vex,,5
"RoboBatalla

1,000",3957,43,0,3957-robobatalla,,5
"Rocketeer Gaming

1,000",6288,43,0,6288-rocketeer-gaming,,5
"Rosh Timer

1,000",5037,43,0,5037-rosh-timer,,5
"RovnoUA

1,000",5262,43,0,5262-rovnoua,,5
"RRB

1,000",95,43,0,95-rrb,,5
"rule Them all

1,000",1825,43,0,1825-rule-them-all,,5
"Run Najib Run

1,000",5857,43,0,5857-run-najib-run,,5
"RUSH3D

1,000",5918,43,0,5918-rush3d,,5
"RW Team

1,000",3934,43,0,3934-rw-team,,5
"Saca Su Mierda

1,000",5771,43,0,5771-saca-su-mierda,,5
"SacraGaming

1,000",2263,43,0,2263-sacragaming,,5
"saGe.eSports

1,000",2400,43,0,2400-sage-esports,,5
"SainTz

1,000",3534,43,0,3534-saintz,,5
"Samz lew

1,000",5994,43,0,5994-samz-lew,,5
"Sanitago Team

1,000",4463,43,0,4463-sanitago-team,,5
"Sarcasm

1,000",4971,43,0,4971-sarcasm,,5
"Scarlet

1,000",6014,43,0,6014-scarlet,,5
"Schiltz

1,000",3684,43,0,3684-schiltz,,5
"Science of Gaming

1,000",4496,43,0,4496-science-of-gaming,,5
"Screaming Yellow Zonkers

1,000",2885,43,0,2885-screaming-yellow-zonkers,,5
"Search & Destroy

1,000",4272,43,0,4272-search-destroy,,5
"Selow Ada

1,000",5677,43,0,5677-selow-ada,,5
"Seneca Stings

1,000",3923,43,0,3923-seneca-stings,,5
"Seven Three Seven

1,000",2543,43,0,2543-seven-three-seven,,5
"Sex and Zen

1,000",4271,43,0,4271-sex-and-zen,,5
"Sex Pistols

1,000",5470,43,0,5470-sex-pistols,,5
"Shadowz.Gaming

1,000",3450,43,0,3450-shadowz-gaming,,5
"Share Your Skill eSports

1,000",1280,43,0,1280-share-your-skill-esports,,5
"Showtime

1,000",2884,43,0,2884-showtime,,5
"Shut the fuck up NOOB !!

1,000",4150,43,0,4150-shut-the-fuck-up-noob,,5
"Sickers!

1,000",6338,43,0,6338-sickers,,5
"SideStep

1,000",3079,43,0,3079-sidestep,,5
"Sie.

1,000",4058,43,0,4058-sie,,5
"Silent Army

1,000",4048,43,0,4048-silent-army,,5
"Simple Gaming

1,000",3978,43,0,3978-simple-gaming,,5
"SizeFly

1,000",5014,43,0,5014-sizefly,,5
"Skill Competition

1,000",5781,43,0,5781-skill-competition,,5
"SkillFocus

1,000",5278,43,0,5278-skillfocus,,5
"SkillTwoKill

1,000",2971,43,0,2971-skilltwokill,,5
"Sky Fall

1,000",6325,43,0,6325-sky-fall,,5
"Sky.Ne7

1,000",5947,43,0,5947-sky-ne7,,5
"SkyWalkerZ

1,000",6267,43,0,6267-skywalkerz,,5
"SLARK S DAG0N0M

1,000",4614,43,0,4614-slark-s-dag0n0m,,5
"Slayer Games

1,000",4137,43,0,4137-slayer-games,,5
"SmegmA^

1,000",4052,43,0,4052-smegma,,5
"Smoke Weed Everyday

1,000",2863,43,0,2863-smoke-weed-everyday,,5
"Snail

1,000",5392,43,0,5392-snail,,5
"Sniper no Sniping

1,000",5059,43,0,5059-sniper-no-sniping,,5
"SNOOS

1,000",5376,43,0,5376-snoos,,5
"So Sick

1,000",5801,43,0,5801-so-sick,,5
"So What?!

1,000",2900,43,0,2900-so-what,,5
"Solo322

1,000",5985,43,322,5985-solo322,,5
"Solstice

1,000",6353,43,0,6353-solstice,,5
"Soobrazim na pjateryh

1,000",2311,43,0,2311-soobrazim-na-pjateryh,,5
"SouthS

1,000",5384,43,0,5384-souths,,5
"Sovereignty Gaming

1,000",5795,43,0,5795-sovereignty-gaming,,5
"SoWhatYouCan

1,000",2326,43,0,2326-sowhatyoucan,,5
"Special Tactics And Rescue Squad

1,000",3559,43,0,3559-special-tactics-and-rescue-squad,,5
"SPICA

1,000",5765,43,0,5765-spica,,5
"Splendid-Gaming-EU

1,000",2320,43,0,2320-splendid-gaming-eu,,5
"SPOCKET E-Sport

1,000",5208,43,0,5208-spocket-e-sport,,5
"Spoiler Alert

1,000",5143,43,0,5143-spoiler-alert,,5
"Squadron51

1,000",3041,43,0,3041-squadron51,,5
"staff

1,000",2669,43,0,2669-staff,,5
"Starks

1,000",2944,43,0,2944-starks,,5
"StarQuality

1,000",4996,43,0,4996-starquality,,5
"Stats'n'Ulti

1,000",3376,43,0,3376-stats-n-ulti,,5
"stealing white INFants

1,000",4006,43,0,4006-stealing-white-infants,,5
"Strategic Gaming

1,000",4608,43,0,4608-strategic-gaming,,5
"StrawHaTz``

1,000",3674,43,0,3674-strawhatz,,5
"StreetFlash

1,000",6063,43,0,6063-streetflash,,5
"Stressfree Dota

1,000",3316,43,0,3316-stressfree-dota,,5
"StronkPuberz

1,000",2306,43,0,2306-stronkpuberz,,5
"subnothing

1,000",3039,43,0,3039-subnothing,,5
"Suicide Gays

1,000",4385,43,0,4385-suicide-gays,,5
"Sun Rise

1,000",4749,43,0,4749-sun-rise,,5
"Super Natural Multi-Gaming

1,000",4226,43,0,4226-super-natural-multi-gaming,,5
"Super Players Left in Throne

1,000",2581,43,0,2581-super-players-left-in-throne,,5
"SupremacyGaming

1,000",5066,43,0,5066-supremacygaming,,5
"SVR[eS]

1,000",3786,43,0,3786-svr-es,,5
"Synergy|Gaming

1,000",6278,43,0,6278-synergy-gaming,,5
"Syntha Five

1,000",6178,43,0,6178-syntha-five,,5
"Synthesis Experience

1,000",4239,43,0,4239-synthesis-experience,,5
"T.P.S

1,000",4439,43,0,4439-t-p-s,,5
"Tactical Drunken Gamers

1,000",5047,43,0,5047-tactical-drunken-gamers,,5
"Tadaam

1,000",3662,43,0,3662-tadaam,,5
"Tag for noobs gaming

1,000",5285,43,0,5285-tag-for-noobs-gaming,,5
"TakeFive

1,000",6229,43,0,6229-takefive,,5
"Tantra

1,000",2573,43,0,2573-tantra,,5
"TDAgammingcL

1,000",3778,43,0,3778-tdagammingcl,,5
"Team #yoloswag

1,000",3638,43,0,3638-team-yoloswag,,5
"TeaM 5 SainTz

1,000",3535,43,0,3535-team-5-saintz,,5
"Team ANGTFT

1,000",6403,43,0,6403-team-angtft,,5
"Team Coratex

1,000",4592,43,0,4592-team-coratex,,5
"Team DnDZ

1,000",5713,43,0,5713-team-dndz,,5
"Team Dota Killers

1,000",4581,43,0,4581-team-dota-killers,,5
"Team Ego

1,000",5513,43,0,5513-team-ego,,5
"Team Extra

1,000",5504,43,0,5504-team-extra,,5
"Team F

1,000",3693,43,0,3693-team-f,,5
"Team From Moscow

1,000",5732,43,0,5732-team-from-moscow,,5
"Team Gamma

1,000",2960,43,0,2960-team-gamma,,5
"Team Havoc

1,000",5562,43,0,5562-team-havoc,,5
"Team i5 - holdem.ro -

1,000",5549,43,0,5549-team-i5-holdem-ro,,5
"Team immineNt

1,000",4781,43,0,4781-team-imminent,,5
"Team Immortality

1,000",4026,43,0,4026-team-immortality,,5
"Team IMPULS

1,000",2623,43,0,2623-team-impuls,,5
"Team InFectED

1,000",4379,43,0,4379-team-infected,,5
"TeaM JhoNG

1,000",3873,43,0,3873-team-jhong,,5
"TEAM Kuraj

1,000",3102,43,0,3102-team-kuraj,,5
"Team Kyuubi

1,000",3636,43,0,3636-team-kyuubi,,5
"Team Legion

1,000",2277,43,0,2277-team-legion,,5
"Team Liberty

1,000",6399,43,0,6399-team-liberty,,5
"Team Lidbis

1,000",2171,43,0,2171-team-lidbis,,5
"Team Malefic

1,000",4615,43,0,4615-team-malefic,,5
"Team MegashocK

1,000",2271,43,0,2271-team-megashock,,5
"Team Mister

1,000",4088,43,0,4088-team-mister,,5
"Team OVERDOSE

1,000",3152,43,0,3152-team-overdose,,5
"Team Overload

1,000",5546,43,0,5546-team-overload,,5
"Team Penguinators

1,000",4821,43,0,4821-team-penguinators,,5
"Team Siberia

1,000",5381,43,0,5381-team-siberia,,5
"Team Under Armour

1,000",2788,43,0,2788-team-under-armour,,5
"Team Verya

1,000",2999,43,0,2999-team-verya,,5
"Team Well-Sitters

1,000",5056,43,0,5056-team-well-sitters,,5
"Team XFX

1,000",5572,43,0,5572-team-xfx,,5
"Team-Experience

1,000",6042,43,0,6042-team-experience,,5
"Team-Privilege™

1,000",2546,43,0,2546-team-privilege,,5
"Team.Aus

1,000",4349,43,0,4349-team-aus,,5
"Team4D

1,000",5258,43,0,5258-team4d,,5
"TeamFighters

1,000",5257,43,0,5257-teamfighters,,5
"TeamIsGood

1,000",2558,43,0,2558-teamisgood,,5
"TeamMagikarp

1,000",2369,43,0,2369-teammagikarp,,5
"techies suicide

1,000",5789,43,0,5789-techies-suicide,,5
"Teddy'Killerz

1,000",6090,43,0,6090-teddy-killerz,,5
"Tempus Iuguolo

1,000",5061,43,0,5061-tempus-iuguolo,,5
"Tessla Gaming

1,000",5448,43,0,5448-tessla-gaming,,5
"Th1s 1s SPARTA!!!

1,000",4959,43,0,4959-th1s-1s-sparta,,5
"Thailand UP Chiang Mai

1,000",5579,43,0,5579-thailand-up-chiang-mai,,5
"The Chemodan Clan

1,000",4770,43,0,4770-the-chemodan-clan,,5
"The Chosen Ones

1,000",3199,43,0,3199-the-chosen-ones,,5
"The Class of 87

1,000",2413,43,0,2413-the-class-of-87,,5
"The Deadly Alliance

1,000",4342,43,0,4342-the-deadly-alliance,,5
"The Fingerless Presidents

1,000",5068,43,0,5068-the-fingerless-presidents,,5
"The Grim Reapers

1,000",3829,43,0,3829-the-grim-reapers,,5
"The hope of the Yagahl's

1,000",4455,43,0,4455-the-hope-of-the-yagahl-s,,5
"The JingleBerts

1,000",3257,43,0,3257-the-jingleberts,,5
"The KOTAN

1,000",5131,43,0,5131-the-kotan,,5
"The Last Try

1,000",3052,43,0,3052-the-last-try,,5
"The Mad Crabs

1,000",5373,43,0,5373-the-mad-crabs,,5
"The MagnificentFive

1,000",739,43,0,739-the-magnificentfive,,5
"The Money Makers

1,000",6340,43,0,6340-the-money-makers,,5
"The Movie

1,000",4891,43,0,4891-the-movie,,5
"The Pro Noobs

1,000",4405,43,0,4405-the-pro-noobs,,5
"The Reckoning

1,000",4209,43,0,4209-the-reckoning,,5
"The Sharpy Grassland

1,000",2554,43,0,2554-the-sharpy-grassland,,5
"TheFEDeration

1,000",5793,43,0,5793-thefederation,,5
"TheMeaningLess

1,000",6231,43,0,6231-themeaningless,,5
"Three Kingdoms

1,000",5763,43,0,5763-three-kingdoms,,5
"Time Killers

1,000",4676,43,0,4676-time-killers,,5
"Time Ruim

1,000",5153,43,0,5153-time-ruim,,5
"Time to Fast Up

1,000",2984,43,0,2984-time-to-fast-up,,5
"Titans Ghost Assesin

1,000",5458,43,0,5458-titans-ghost-assesin,,5
"TLT

1,000",2328,43,0,2328-tlt,,5
"TM's Resurrection

1,000",3986,43,0,3986-tm-s-resurrection,,5
"To Be Decided.2

1,000",5437,43,0,5437-to-be-decided-2,,5
"To Be Decided.3

1,000",5438,43,0,5438-to-be-decided-3,,5
"ToProForYou

1,000",3541,43,0,3541-toproforyou,,5
"Tower Defense

1,000",4420,43,0,4420-tower-defense,,5
"Traditional China Farmers

1,000",3158,43,0,3158-traditional-china-farmers,,5
"Triangle is the Best Shape

1,000",4250,43,0,4250-triangle-is-the-best-shape,,5
"Tribe

1,000",3509,43,0,3509-tribe,,5
"Trippings

1,000",4782,43,0,4782-trippings,,5
"Tro9ln

1,000",5060,43,0,5060-tro9ln,,5
"Try Hard

1,000",5166,43,0,5166-try-hard,,5
"Try Harders

1,000",2690,43,0,2690-try-harders,,5
"Try Hards

1,000",2287,43,0,2287-try-hards,,5
"tryhardniqqas

1,000",5250,43,0,5250-tryhardniqqas,,5
"tu femme sauce

1,000",1699,43,0,1699-tu-femme-sauce,,5
"TunIsiaN GaMerS

1,000",818,43,0,818-tunisian-gamers,,5
"Turbine

1,000",2929,43,0,2929-turbine,,5
"Two|SidE

1,000",5580,43,0,5580-two-side,,5
"UDANO

1,000",4113,43,0,4113-udano,,5
"Ukrainians brothers

1,000",5339,43,0,5339-ukrainians-brothers,,5
"Ultimatum

1,000",4320,43,0,4320-ultimatum,,5
"Un Pato Grande

1,000",5778,43,0,5778-un-pato-grande,,5
"Uncle Dolan Team

1,000",4213,43,0,4213-uncle-dolan-team,,5
"Unio Victoria

1,000",5022,43,0,5022-unio-victoria,,5
"Unit Gaming

1,000",4317,43,0,4317-unit-gaming,,5
"United Chamberz

1,000",3912,43,0,3912-united-chamberz,,5
"UnitedSexyBoys.BLR

1,000",6054,43,0,6054-unitedsexyboys-blr,,5
"UnKownPlayers

1,000",4943,43,0,4943-unkownplayers,,5
"unlove

1,000",2834,43,0,2834-unlove,,5
"Unown

1,000",3460,43,0,3460-unown,,5
"Unskill Dream Team

1,000",5735,43,0,5735-unskill-dream-team,,5
"UQSS

1,000",3465,43,0,3465-uqss,,5
"Urea Phormaldehyde

1,000",3160,43,0,3160-urea-phormaldehyde,,5
"uschsh

1,000",5268,43,0,5268-uschsh,,5
"Ué? Como assim? Acabou o respeito?²

1,000",5176,43,0,5176-u-como-assim-acabou-o-respeito,,5
"V-Tech

1,000",3459,43,0,3459-v-tech,,5
"VAVILON

1,000",3421,43,0,3421-vavilon,,5
"VB

1,000",4826,43,0,4826-vb,,5
"Veggie Gaming

1,000",4376,43,0,4376-veggie-gaming,,5
"Velbloudi bez Hrbu

1,000",2614,43,0,2614-velbloudi-bez-hrbu,,5
"Venezziola Gaming Digital

1,000",5287,43,0,5287-venezziola-gaming-digital,,5
"Verdict

1,000",5750,43,0,5750-verdict,,5
"versuta Rage

1,000",6048,43,0,6048-versuta-rage,,5
"VeryDangerousGuys

1,000",4993,43,0,4993-verydangerousguys,,5
"Vesanus Gaming

1,000",4306,43,0,4306-vesanus-gaming,,5
"vicetone

1,000",6026,43,0,6026-vicetone,,5
"Victory by any Means

1,000",4613,43,0,4613-victory-by-any-means,,5
"Vietnamese Anti Virus

1,000",5984,43,0,5984-vietnamese-anti-virus,,5
"Viper.eXe

1,000",2424,43,0,2424-viper-exe,,5
"ViRuS.E-SPorts

1,000",5117,43,0,5117-virus-e-sports,,5
"Vita est Ludus

1,000",3431,43,0,3431-vita-est-ludus,,5
"Vitamin G

1,000",4509,43,0,4509-vitamin-g,,5
"VitC

1,000",3267,43,0,3267-vitc,,5
"Vivacity E-Sports

1,000",5186,43,0,5186-vivacity-e-sports,,5
"Vivire Lucror

1,000",4460,43,0,4460-vivire-lucror,,5
"Vlad's first

1,000",4251,43,0,4251-vlad-s-first,,5
"vlpteam1

1,000",4396,43,0,4396-vlpteam1,,5
"VOLGOGRAD

1,000",1369,43,0,1369-volgograd,,5
"Vortex Corp.

1,000",2950,43,0,2950-vortex-corp,,5
"VOUCHED PLAYERS

1,000",4291,43,0,4291-vouched-players,,5
"VSY Gaming

1,000",3657,43,0,3657-vsy-gaming,,5
"VYE-esports

1,000",3081,43,0,3081-vye-esports,,5
"Völkermord

1,000",2446,43,0,2446-volkermord,,5
"Waii

1,000",1781,43,0,1781-waii,,5
"Walk Alone

1,000",5526,43,0,5526-walk-alone,,5
"WaRluS_PuNch

1,000",6203,43,0,6203-warlus-punch,,5
"WarManiacs

1,000",2262,43,0,2262-warmaniacs,,5
"Watch and learn lol

1,000",3360,43,0,3360-watch-and-learn-lol,,5
"WawA.LoTus

1,000",3687,43,0,3687-wawa-lotus,,5
"We Are Electric

1,000",2509,43,0,2509-we-are-electric,,5
"We Are Gamers

1,000",6394,43,0,6394-we-are-gamers,,5
"We Are Reapers

1,000",4588,43,0,4588-we-are-reapers,,5
"We Cured Cancer

1,000",5507,43,0,5507-we-cured-cancer,,5
"We EmpeROAR

1,000",3709,43,0,3709-we-emperoar,,5
"we Forget Rosh

1,000",3878,43,0,3878-we-forget-rosh,,5
"we Ganked weed.

1,000",6034,43,0,6034-we-ganked-weed,,5
"We Got Ravage

1,000",4931,43,0,4931-we-got-ravage,,5
"WE LOVE JESUS

1,000",5317,43,0,5317-we-love-jesus,,5
"We Miri Player

1,000",2595,43,0,2595-we-miri-player,,5
"We Need To Defend

1,000",5762,43,0,5762-we-need-to-defend,,5
"we never win

1,000",3542,43,0,3542-we-never-win,,5
"We Pwn n00bz

1,000",5936,43,0,5936-we-pwn-n00bz,,5
"We R Who We R

1,000",5679,43,0,5679-we-r-who-we-r,,5
"Weaver Good Once

1,000",4617,43,0,4617-weaver-good-once,,5
"WeLiveToWin

1,000",6107,43,0,6107-welivetowin,,5
"WeNeedBonez

1,000",5724,43,0,5724-weneedbonez,,5
"WH e-Sports

1,000",2959,43,0,2959-wh-e-sports,,5
"What are you Doing

1,000",6217,43,0,6217-what-are-you-doing,,5
"Whiskeypirates

1,000",3163,43,0,3163-whiskeypirates,,5
"Who threw the hook ?

1,000",5745,43,0,5745-who-threw-the-hook,,5
"why must Code?

1,000",5282,43,0,5282-why-must-code,,5
"WHY SO SERIOUS

1,000",2782,43,0,2782-why-so-serious,,5
"WILD

1,000",2465,43,0,2465-wild,,5
"Will Be Soon...

1,000",3168,43,0,3168-will-be-soon,,5
"WilliamTell

1,000",3054,43,0,3054-williamtell,,5
"WiNrRouse

1,000",6465,43,0,6465-winrrouse,,5
"wolfGang

1,000",4127,43,0,4127-wolfgang,,5
"WonderGays Unlimited

1,000",4341,43,0,4341-wondergays-unlimited,,5
"Woolf Pack

1,000",3367,43,0,3367-woolf-pack,,5
"WorkZone

1,000",4145,43,0,4145-workzone,,5
"WoRmS

1,000",4731,43,0,4731-worms,,5
"wwge

1,000",6031,43,0,6031-wwge,,5
"w|Aw

1,000",4453,43,0,4453-w-aw,,5
"X-Rated

1,000",5467,43,0,5467-x-rated,,5
"X-treme Shark Team

1,000",2895,43,0,2895-x-treme-shark-team,,5
"X51 eSports

1,000",4321,43,0,4321-x51-esports,,5
"XAI10

1,000",4020,43,0,4020-xai10,,5
"Xenon Esports

1,000",4869,43,0,4869-xenon-esports,,5
"Xiao Gamers

1,000",2422,43,0,2422-xiao-gamers,,5
"xO-Gaming2

1,000",4576,43,0,4576-xo-gaming2,,5
"XoFeL Gaming

1,000",4044,43,0,4044-xofel-gaming,,5
"XPG

1,000",4767,43,0,4767-xpg,,5
"xployd.gaming

1,000",5288,43,0,5288-xployd-gaming,,5
"XtianMontz

1,000",4691,43,0,4691-xtianmontz,,5
"xxbusterxx

1,000",4464,43,0,4464-xxbusterxx,,5
"xXxMLG[360]NOSCOPExXx

1,000",5089,43,360,5089-xxxmlg-360-noscopexxx,,5
"XyBorgS

1,000",2682,43,0,2682-xyborgs,,5
"xyZ Gaming

1,000",3982,43,0,3982-xyz-gaming,,5
"Yacku

1,000",4102,43,0,4102-yacku,,5
"Yakutsk Five

1,000",5252,43,0,5252-yakutsk-five,,5
"Yengeç Styla

1,000",5025,43,0,5025-yengec-styla,,5
"Yessir

1,000",3314,43,0,3314-yessir,,5
"YOLOLO

1,000",6264,43,0,6264-yololo,,5
"Young Gods

1,000",5747,43,0,5747-young-gods,,5
"Yp.

1,000",5328,43,0,5328-yp,,5
"yusri

1,000",3537,43,0,3537-yusri,,5
"Yvegeny

1,000",5227,43,0,5227-yvegeny,,5
"Z-twin Reborn

1,000",6128,43,0,6128-z-twin-reborn,,5
"Zaddle

1,000",3561,43,0,3561-zaddle,,5
"Zeal

1,000",3521,43,0,3521-zeal,,5
"Zephy.Six

1,000",5316,43,0,5316-zephy-six,,5
"Zero Heroes

1,000",2545,43,0,2545-zero-heroes,,5
"ZeroDarkThirty

1,000",5764,43,0,5764-zerodarkthirty,,5
"ZIEGLER

1,000",5416,43,0,5416-ziegler,,5
"ZMR

1,000",4203,43,0,4203-zmr,,5
"ZombieRule

1,000",6242,43,0,6242-zombierule,,5
"ZperMuss

1,000",5797,43,0,5797-zpermuss,,5
"~No nyX assasinS~

1,000",6180,43,0,6180-no-nyx-assasins,,5
"ßeat

1,000",4003,43,0,4003-sseat,,5
"Çipetpet

1,000",6400,43,0,6400-cipetpet,,5
"βιοζ Gaming

1,000",5229,43,0,5229-bioz-gaming,,5
"πTC

1,000",2330,43,0,2330-ptc,,5
"Без Эмоций

1,000",5733,43,0,5733-biez-emotsii,,5
"НяШкИ

1,000",5739,43,0,5739-niashki,,5
"ᴰᴼᵀᴬᴹᴼᴺ

1,000",3791,43,0,3791-,,5
"♠ Ace Brother ♠

1,000",5540,43,0,5540-ace-brother,,5
"你买啥

1,000",6249,43,0,6249-nn,,5
"吴志豪

1,000",6070,43,0,6070-xun,,5
"张午旸

1,000",2748,43,0,2748-,,5
"杨淮宁

1,000",4970,43,0,4970-,,5
"Monarchy Kingdom

1,000",6477,43,353,6477-monarchy-kingdom,,5
"BorN 2 K1lL

1,000",6482,43,353,6482-born-2-k1ll,,5
"Infamous Derj

1,000",6484,43,353,6484-infamous-derj,,5
"Last Gaming

1,000",6487,43,353,6487-last-gaming,,5
"Elite Rookies

1,000",6491,43,353,6491-elite-rookies,,5
"MouseKnights

1,000",6495,43,353,6495-mouseknights,,5
"GamersLeague.NO

1,000",6496,43,353,6496-gamersleague-no,,5
"Perfectionvore

1,000",6506,43,353,6506-perfectionvore,,5
"Fw

1,000",6515,43,353,6515-fw,,5
"Incognito Mode Activated

1,000",6517,43,353,6517-incognito-mode-activated,,5
"Team Night Fury

1,000",6518,43,353,6518-team-night-fury,,5
"Donah

1,000",6519,43,353,6519-donah,,5
"Alien Nation

1,000",6521,43,353,6521-alien-nation,,5
"Insatiable

1,000",6522,43,353,6522-insatiable,,5
"The Saiyans

1,000",6527,43,353,6527-the-saiyans,,5
"Hungarian Pandas

1,000",6528,43,353,6528-hungarian-pandas,,5
"Zone E-Sports

1,000",6535,43,353,6535-zone-e-sports,,5
"Scrash Revolution'

1,000",6536,43,353,6536-scrash-revolution,,5
"Team Dementia

1,000",6538,43,353,6538-team-dementia,,5
"uNc|e

1,000",6542,43,353,6542-unc-e,,5
"Arc blood

1,000",6545,43,353,6545-arc-blood,,5
"Oozma Kappa

1,000",6551,43,353,6551-oozma-kappa,,5
"Legend of Chaos

1,000",6552,43,353,6552-legend-of-chaos,,5
"TeamEM

1,000",6558,43,353,6558-teamem,,5
"What have you done?

1,000",6560,43,353,6560-what-have-you-done,,5
"Suditasia

1,000",6569,43,353,6569-suditasia,,5
"LOST DOTERS

1,000",6573,43,353,6573-lost-doters,,5
"Flow

1,000",6576,43,353,6576-flow,,5
"DAYUM

1,000",6582,43,353,6582-dayum,,5
"No Portal

1,000",6583,43,353,6583-no-portal,,5
"CWL

1,000",6586,43,353,6586-cwl,,5
"Oblitus Gaming

1,000",6587,43,353,6587-oblitus-gaming,,5
"Spin E-Sports

1,000",6590,43,353,6590-spin-e-sports,,5
"Onfire.

1,000",6591,43,353,6591-onfire,,5
"MOWENIKI

1,000",6596,43,353,6596-moweniki,,5
"322 Tactics

1,000",6599,43,353,6599-322-tactics,,5
"Ugly meepo

1,000",6600,43,353,6600-ugly-meepo,,5
"VasiaPupkinTeam

1,000",6603,43,353,6603-vasiapupkinteam,,5
"OtherS StarS

1,000",6604,43,353,6604-others-stars,,5
"Legendary Victory

1,000",6610,43,353,6610-legendary-victory,,5
"estatic.

1,000",6613,43,353,6613-estatic,,5
"tinkervoruetkonya

1,000",6618,43,353,6618-tinkervoruetkonya,,5
"Team Perfect

1,000",6620,43,353,6620-team-perfect,,5
"No Sponsor

1,000",6621,43,353,6621-no-sponsor,,5
"Hello Kitty Gaming

1,000",6623,43,353,6623-hello-kitty-gaming,,5
"Everybody Hates Kris

1,000",6624,43,353,6624-everybody-hates-kris,,5
"Rubick Gaming

1,000",6625,43,353,6625-rubick-gaming,,5
"Only For Fail

1,000",6627,43,353,6627-only-for-fail,,5
"Plz fast finish

1,000",6628,43,353,6628-plz-fast-finish,,5
"lost In Game

1,000",6630,43,353,6630-lost-in-game,,5
"MadFun

1,000",6631,43,353,6631-madfun,,5
"TURANCILAR

1,000",6632,43,353,6632-turancilar,,5
"PikaaTEAM

1,000",6633,43,353,6633-pikaateam,,5
"SkyNetKings

1,000",6634,43,353,6634-skynetkings,,5
"Vo`tak

1,000",6637,43,353,6637-vo-tak,,5
"Uictorum Bros

1,000",6638,43,353,6638-uictorum-bros,,5
"New""Wave

1,000",6639,43,353,6639-new-wave,,5
"Deaf team

1,000",6640,43,353,6640-deaf-team,,5
"you2

1,000",6641,43,353,6641-you2,,5
"Brawns and Brains

1,000",6646,43,353,6646-brawns-and-brains,,5
"Solo top

1,000",6649,43,353,6649-solo-top,,5
"Io+life_love

1,000",6651,43,353,6651-io-life-love,,5
"Mouse Gaming

1,000",6655,43,353,6655-mouse-gaming,,5
"Janissaries eSports

1,000",6658,43,353,6658-janissaries-esports,,5
"AMBRELLA

1,000",6665,43,353,6665-ambrella,,5
"RAT LIFE

1,000",6670,43,353,6670-rat-life,,5
"You Only Live Online

1,000",6672,43,353,6672-you-only-live-online,,5
"ONPAA the GANG

1,000",6676,43,353,6676-onpaa-the-gang,,5
"oxo

1,000",6677,43,353,6677-oxo,,5
"Gotei-XIII

1,000",6681,43,353,6681-gotei-xiii,,5
"Convergence-Gaming

1,000",6682,43,353,6682-convergence-gaming,,5
"Alien Pizza

1,000",6683,43,353,6683-alien-pizza,,5
"SUNANDI

1,000",6685,43,353,6685-sunandi,,5
"TigerEye

1,000",6687,43,353,6687-tigereye,,5
"Rush Of the MID

1,000",6688,43,353,6688-rush-of-the-mid,,5
"NWE

1,000",6690,43,353,6690-nwe,,5
"Force ;x

1,000",6692,43,353,6692-force-x,,5
"OK

1,000",6693,43,353,6693-ok,,5
"HAHT

1,000",6698,43,353,6698-haht,,5
"InSky

1,000",6700,43,353,6700-insky,,5
"SV ESPORTS

1,000",6701,43,353,6701-sv-esports,,5
"No Soosmar

1,000",6703,43,353,6703-no-soosmar,,5
"JHawks Gaming

1,000",6709,43,353,6709-jhawks-gaming,,5
"Smokes of Wind

1,000",6711,43,353,6711-smokes-of-wind,,5
"Execution`

1,000",6712,43,353,6712-execution,,5
"Sweetopia Insidious

1,000",6713,43,353,6713-sweetopia-insidious,,5
"[RP] Lycans

1,000",6714,43,353,6714-rp-lycans,,5
"Team ZlotnoQ

1,000",6715,43,353,6715-team-zlotnoq,,5
"DonuTeamy

1,000",6718,43,353,6718-donuteamy,,5
"White vore

1,000",6721,43,353,6721-white-vore,,5
"Just_A_Team

1,000",6722,43,353,6722-just-a-team,,5
"dsdsds

1,000",6725,43,353,6725-dsdsds,,5
"Hivemind

1,000",6728,43,353,6728-hivemind,,5
"Astronomical Minds

1,000",6730,43,353,6730-astronomical-minds,,5
"Rabid Raven

1,000",6731,43,353,6731-rabid-raven,,5
"flawless.c4o

1,000",6735,43,353,6735-flawless-c4o,,5
"Midori Gaming

1,000",6740,43,353,6740-midori-gaming,,5
"Stop Feeding Please

1,000",6743,43,353,6743-stop-feeding-please,,5
"Warner Bros

1,000",6746,43,353,6746-warner-bros,,5
"Disney Heroes

1,000",6747,43,353,6747-disney-heroes,,5
"The Valkyries

1,000",6748,43,353,6748-the-valkyries,,5
"Glast Heim

1,000",6751,43,353,6751-glast-heim,,5
"Vis'Vha

1,000",6753,43,353,6753-vis-vha,,5
